ONCELIK,CSV_SATIR,SKU,RISK_SINIFI,SEBEP,AKSIYON,ONERI,MEVCUT_BASLIK
A,209,,Otomotiv markası,"Ford Motor Company — ""Henry Ford"" + ""Model T""",SİL veya ACİL DÜZELT,"Marka adlarını çıkar: ""1900s Horseless Carriage Automotive History Art""","Henry Ford Vintage Car Canvas, Model T Horseless Carriage 1908, Automotive History Wall Art, Industrial Revolution Decor, Classic Car Canvas"
A,590,,Tescilli marka,Harlem Globetrotters aktif tescilli marka,SİL,"""Retro Basketball Showtime Poster"" olarak yeniden üret","Harlem Globetrotters 1952 Vintage Poster, Retro Basketball Print, Classic Sports Wall Art, Basketball Fan Gift"
A,592,,Kulüp + stadyum,FC Barcelona ve Camp Nou tescilli,SİL,"""Retro Spanish Football Stadium 1950s""","Camp Nou Barcelona 1957 Vintage Poster, Retro Football Stadium Print, Spain Soccer Wall Art, Catalan Sports Decor"
A,594,,Etkinlik + stadyum + lig,FIFA World Cup + Wembley + The FA — üç ayrı hak sahibi,SİL,"""1960s Retro Football Stadium Poster"" olarak yeniden üret","Wembley Stadium 1966 Vintage Poster, World Cup Final Retro Football Print, London Soccer Wall Art, England Decor"
A,597,,Tescilli marka,The Cotton Club markası canlı,SİL veya ACİL DÜZELT,"""1920s Harlem Jazz Club Wall Art""","The Cotton Club Harlem 1927 Canvas, Vintage Jazz Dance Scene Wall Art, Retro Music Venue Canvas, Historic Jazz Club Decoration, Ready to"
A,598,,Tescilli marka + afiş telifi,The Fillmore (Live Nation) + 1967 konser afişleri hâlâ telifli,SİL,"""Psychedelic Rock Concert Poster 1960s"" olarak sıfırdan","Fillmore West San Francisco 1967 Concert Poster, Vintage Psychedelic Rock Wall Art, Retro Music Poster, 60s Rock Band Canvas Print"
A,673,,Franchise adı,"Başlıkta ""Ghibli Style"" — Studio Ghibli, garanti IP strike",SİL veya ACİL DÜZELT,"""Ghibli Style"" ifadesini çıkar: ""Painterly Anime Landscape Style""","Rome Colosseum Vintage Travel Poster, Retro Italy Wall Art Canvas, Ghibli Style Roman Holiday Painting, Italian Street View Print"
A,892,,Etkinlik + film adı,"FIFA World Cup + ""Das Wunder von Bern"" 2003 film markası",SİL,"""Retro Football Champions 1950s""","Vintage 1954 World Cup Victory Canvas, Das Wunder Von Bern Wall Art, Retro Soccer Champion Decoration, Football Trophy Celebration Print"
A,893,,Tescilli marka,"Woodstock Ventures — ""Woodstock"" tescilli ve takip ediliyor",SİL,"""1969 Peace and Music Festival"" / ""Retro Hippie Festival Art""","Vintage Woodstock 1969 Canvas, Peace Symbol Wall Art, Music Festival Poster, Retro Hippie Decor, Three Days of Peace & Music Canvas"
A,894,,Yaşayan marka / kişilik hakkı,Elvis Presley Enterprises (ABG) — dünyanın en agresif hak takipçilerinden,SİL,"Görseli sakla, ""Vintage Rock and Roll Singer 1950s"" olarak tamamen yeniden yaz","Rock'n'Roll 1957 Canvas Wall Art, Vintage Elvis Presley Poster, The King Is Here Retro Music Canvas, Classic Rock Music Home Decor"
A,897,,Yaptırım + fotoğraf telifi,Cuba/Cuban yaptırım filtresi + Che Guevara Korda fotoğrafı mirasçı takibinde,SİL,"Bu görseli tamamen bırak, kurtarılabilir hâli yok","Cuba Libre 1959 Che Guevara Canvas, Cuban Revolution Wall Art, Vintage, Historical Canvas Decoration, Latin America Icon"
